N,ordering_fraction,longest_chain
200.0,0.6246733668341709,26.0
300.0,0.6492530657748049,28.0
400.0,0.7454010025062656,42.0
600.0,0.8296661101836394,71.0
800.0,0.8705131414267835,87.0
1000.0,0.887033033033033,106.0
