N,ordering_fraction,longest_chain
200.0,0.5312060301507537,30.0
300.0,0.4504347826086956,30.0
400.0,0.4833834586466165,36.0
600.0,0.4935559265442404,42.0
800.0,0.49908948685857324,49.0
1000.0,0.5176436436436437,60.0
